name,rating,comparisons
Patrick Mahomes,1520.9115766326256,7
Josh Allen,1468.063601798994,8
Tom Brady,1528.5521395523908,6
Jerry Rice,1427.6077720344529,7
Aaron Donald,1529.0138773722347,8
Lawrence Taylor,1472.8015216627623,8
Randy Moss,1503.8006063551238,8
Peyton Manning,1462.0152871581345,7
JJ Watt,1546.881980832552,8
Travis Kelce,1540.3516366007295,7
